Region Code,Median Income,Low Income Rate,Gini Index
01,19777.073170731706,31.243589743589745,0.3723658536585366
02,16253.731343283582,38.1,0.4016119402985075
03,18615.11111111111,30.483783783783785,0.36571111111111115
04,19421.764705882353,28.453333333333333,0.38652941176470584
05,20479.04761904762,23.30526315789474,0.3353333333333333
06,21873.323353293414,24.579742765273313,0.37157784431137725
07,18809.0,28.88125,0.36265000000000003
08,15745.0,41.9,0.41283333333333333
09,16736.666666666668,31.52,0.3873333333333333
10,16619.36170212766,34.9325,0.39680851063829786
11,16861.272727272728,36.33888888888889,0.40941818181818185
12,19449.677419354837,27.084615384615386,0.35635483870967744
13,20119.776357827475,30.526335174953957,0.3751613418530351
14,19353.908045977012,30.189610389610387,0.37185057471264366
15,20277.69230769231,25.70909090909091,0.3516923076923077
16,18182.083333333332,32.05238095238095,0.40791666666666665
17,20123.389830508473,26.537735849056602,0.3673389830508475
18,18441.219512195123,31.653846153846153,0.3713658536585366
19,19183.0,27.27777777777778,0.3545666666666667
21,21506.162790697676,25.513698630136986,0.34636046511627905
22,20900.425531914894,23.915384615384617,0.3450212765957447
23,19420.0,28.98,0.379
24,18788.076923076922,29.570833333333336,0.3812307692307692
25,18882.597402597403,32.428378378378376,0.38345454545454544
26,18590.625,29.518644067796608,0.36096875
27,17275.833333333332,37.675471698113206,0.3814666666666666
28,17838.0,33.05744680851064,0.34894545454545456
29,20862.14814814815,22.127433628318585,0.3290962962962963
2A,21719.64285714286,25.069230769230767,0.3673928571428572
2B,18562.666666666668,34.233333333333334,0.414
30,16748.834951456312,39.12127659574468,0.4060776699029126
31,22905.31914893617,26.882242990654206,0.3803063829787234
32,18888.18181818182,26.866666666666667,0.37545454545454543
33,23361.923076923078,21.38406374501992,0.35381818181818186
34,18270.722222222223,36.0093567251462,0.40726111111111113
35,22629.93288590604,25.547154471544715,0.36446308724832216
36,18558.46153846154,28.900000000000002,0.35715384615384616
37,20698.660714285714,27.743023255813956,0.35217857142857145
38,20839.941860465115,26.90340136054422,0.34525
39,18311.739130434784,30.742857142857144,0.3615217391304348
40,20576.969696969696,22.907692307692308,0.3285757575757576
41,18086.944444444445,31.861290322580647,0.36480555555555555
42,17651.58620689655,33.32962962962963,0.36524137931034484
43,17902.85714285714,34.2,0.3851428571428572
44,23442.420634920636,19.714356435643566,0.3328095238095238
45,20051.52380952381,30.363636363636363,0.35995238095238097
46,20077.777777777777,25.7125,0.36922222222222223
47,17242.90322580645,33.47,0.39506451612903226
48,20800.0,15.8,0.3294
49,20334.745762711864,21.98724832214765,0.3164180790960452
50,20314.10714285714,25.565957446808508,0.32905357142857145
51,18531.769911504423,32.80480769230769,0.3762389380530973
52,17637.391304347828,34.97142857142857,0.36460869565217385
53,19796.060606060608,22.807142857142857,0.34624242424242424
54,20039.139784946237,32.88641975308642,0.403010752688172
55,18096.428571428572,27.52,0.3934285714285714
56,20833.095238095237,23.06376811594203,0.34145238095238095
57,18940.76433121019,31.103649635036493,0.37821656050955416
58,17788.571428571428,32.23157894736842,0.3833809523809524
59,18599.176276771006,34.639583333333334,0.37691762767710046
60,18720.744680851065,36.205263157894734,0.36790425531914894
61,16976.25,33.60476190476191,0.3818333333333333
62,16084.42857142857,38.089285714285715,0.378252380952381
63,20878.809523809523,27.236986301369864,0.35783333333333334
64,21433.88349514563,23.280434782608697,0.3679126213592233
65,16800.0,35.870370370370374,0.3915185185185185
66,16162.258064516129,37.57586206896552,0.43359677419354836
67,20042.216216216217,30.702366863905326,0.3877189189189189
68,19033.64406779661,33.70970873786408,0.3788220338983051
69,22422.880184331796,26.977027027027027,0.36386635944700463
70,17812.727272727272,30.342857142857138,0.36354545454545456
71,17587.70491803279,32.300000000000004,0.35798360655737704
72,19141.5,29.881944444444443,0.358325
73,20952.558139534885,24.21282051282051,0.3389767441860465
74,24407.575757575756,19.325974025974023,0.3482121212121212
75,33280.09195402299,21.037290502793297,0.4435183908045977
76,19027.24409448819,33.64343891402715,0.3562834645669291
77,21655.574468085106,26.994148936170212,0.3300595744680851
78,28570.272277227723,23.360648148148147,0.3324480198019802
79,20007.380952380954,23.281578947368423,0.3556666666666667
80,17723.44262295082,35.94827586206897,0.4096393442622951
81,18581.01694915254,29.539622641509432,0.37659322033898307
82,18170.909090909092,32.09090909090909,0.38866666666666666
83,20929.285714285714,24.435398230088495,0.3483373015873016
84,17293.684210526317,35.07090909090909,0.3752456140350877
85,21447.14285714286,18.214000000000002,0.3305535714285714
86,18214.48979591837,34.18775510204082,0.3993265306122449
87,18699.076923076922,29.708771929824557,0.38255384615384613
88,17128.18181818182,35.815,0.41731818181818175
89,16913.125,37.03333333333333,0.39375
90,16682.222222222223,37.37647058823529,0.39966666666666667
91,23400.564784053156,25.78169642857143,0.3303289036544851
92,31441.639072847684,19.77262180974478,0.3783592715231788
93,17066.46153846154,38.9391382405745,0.3767094017094017
94,24350.673267326732,25.67297297297297,0.35647722772277224
95,21013.179190751445,30.22837837837838,0.3409219653179191
97,14670.331491712706,47.09028571428571,0.4803204419889503
